PLANT,Sanskrit/Ayurvedic Names,plant part,COMPOUND,pubchem ID,Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic,cancer type,Toxicity (LD50)mg/kg,Prediction,PROTEIN TARGET,DOI NUMBER
,,tissue culture,INDOLE-3-ACETIC-ACID,802,Molecule 129,OC(=O)Cc1c[nH]c2c1cccc2,C10H9NO2,175.18,13,9,0.1,2,2,2,49.84,53.09,1.01,1.41,1.79,1.11,2.21,1.51,-2.19,1.12E+00,6.39E-03,Soluble,-2.13,1.30E+00,7.43E-03,Soluble,-3.06,1.53E-01,8.75E-04,Soluble,High,Yes,No,No,No,No,No,No,-6.37,0,0,0,0,1,0.85,0,0,1,1.45,,1200,inactive,"IAA is also positively correlated with C-reactive protein (CRP) [13], IL-6 [17], vascular cell adhesion molecule 1 (VCAM-1) [18], and MCP-1 level [17]. IAA activates the mitogen-activated protein kinase (MAPK) pathway in different cell types [13,14,16,19,20], which are likely to play an important role in the pathogenesis of CV disease, especially in cardiac hypertrophy and cardiac remodeling after myocardial infarction [21,22]. Therefore, we hypothesized that IAA may correlate with proteins that triggered MAPK cascade and further link CV disease in CKD subjects. The proteins triggering MAPK cascade are classified according to Gene Ontology (GO) biological process and selected from the Olink cardiovascular panel. Herein, the association between circulating IAA level and MAPK cascade associated proteins was investigated in a clinical setting to explore potential new CV signaling in patients undergoing hemodialysis ", https://doi.org/10.3390/jcm9010124
,,seed,ISOLEUCINE,6306,Molecule 130,CCC(C(C(=O)O)N)C,C6H13NO2,131.17,9,0,0.83,3,3,2,35.44,63.32,1.26,-1.72,0.44,-1.82,-0.15,-0.4,0.63,5.57E+02,4.25E+00,Highly soluble,0.9,1.05E+03,8.02E+00,Highly soluble,-0.14,9.61E+01,7.33E-01,Soluble,High,No,No,No,No,No,No,No,-8.32,0,2,0,0,1,0.55,0,0,1,1.65,,10000,inactive,"isoleucine is a strong inducer of beta-defensin, we first hypothesized that it prevented liver metastases via the accumulation of dendritic cells or memory T cells through up-regulation of beta-defensin.Finally, we discovered a novel mechanism of isoleucine: down-regulation of angiogenesis via inhibition of vascular endothelial growth factor, partially through the mammalian target of the rapamycin pathway, independent of hypoxia-inducible factor 1-alpha.",PMID: 17409434 DOI: 10.1158/0008-5472.CAN-06-3739
,,seed,NIGELLIDINE,136828302,Molecule 131,Oc1ccc(cc1)c1c2c(=O)cc(cc2n2n1CCCC2)C,C18H18N2O2,294.35,22,15,0.28,1,2,1,88.65,47.16,2.57,2.93,3.28,2.39,2.93,2.82,-3.95,3.31E-02,1.12E-04,Soluble,-3.58,7.71E-02,2.62E-04,Soluble,-4.6,7.44E-03,2.53E-05,Moderately soluble,High,Yes,Yes,Yes,No,No,Yes,No,-6.02,0,0,0,0,0,0.55,0,0,0,2.86,,1000,inactive,***,
,,seed,NIGELLIMINE,20725,Molecule 132,COc1cc2c(C)nccc2cc1OC,C12H13NO2,203.24,15,10,0.25,2,3,0,59.69,31.35,2.38,2.44,2.56,1.18,2.9,2.29,-3,2.04E-01,1.00E-03,Soluble,-2.74,3.69E-01,1.81E-03,Soluble,-4.35,9.10E-03,4.48E-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-5.81,0,0,0,0,0,0.55,0,0,1,1.51,,1300,inactive/Active,***,
,,seed oil ,OBTUSIFOLIOL,65252,Molecule 133,CC(C(=C)CCC(C1CCC2(C1(C)CCC1=C2CCC2C1(C)CCC(C2C)O)C)C)C,C30H50O,426.72,31,0,0.87,5,1,1,137.3,20.23,5.21,9.05,8.34,6.82,7.68,7.42,-7.86,5.93E-06,1.39E-08,Poorly soluble,-9.37,1.83E-07,4.29E-10,Poorly soluble,-7,4.32E-05,1.01E-07,Poorly soluble,Low,No,No,No,No,No,No,No,-2.48,1,3,0,1,2,0.55,0,1,2,6.15,,2000,inactive,Obtusifoliol compound are potential as breast anticancer targeted at CYP450 gene, Vol 5 No 2 (2019): Jurnal Biota 2019
,,seed,PHENYLALANINE,6140,Molecule 134,NC(C(=O)O)Cc1ccccc1,C9H11NO2,165.19,12,6,0.22,3,3,2,45.5,63.32,1.08,-1.52,0.64,-1.11,0.86,-0.01,-0.08,1.38E+02,8.35E-01,Very soluble,0.7,8.21E+02,4.97E+00,Highly soluble,-1.86,2.30E+00,1.39E-02,Soluble,High,No,No,No,No,No,No,No,-8.39,0,0,0,0,1,0.55,0,0,1,1.46,,2400,inactive,A novel L-phenylalanine dipeptide inhibits prostate cancer cell proliferation by targeting TNFSF9,PMID: 36804121 DOI: 10.1016/j.biopha.2023.114360
,,seed,SERINE,5951,Molecule 135,OCC(C(=O)O)N,C3H7NO3,105.09,7,0,0.67,2,4,3,22.18,83.55,0.19,-3.07,-1.61,-3.91,-1.45,-1.97,1.57,3.95E+03,3.75E+01,Highly soluble,1.88,7.97E+03,7.59E+01,Highly soluble,1.3,2.08E+03,1.98E+01,Soluble,High,No,No,No,No,No,No,No,-9.12,0,4,0,0,3,0.55,0,0,1,1.51,,2000,inactive,***,
Erthyrina suberosa,"Paribhadra, Mandara",seed,wighteone,5281814,Molecule 136,CC(=CCc1c(O)cc2c(c1O)c(=O)c(co2)c1ccc(cc1)O)C,C20H18O5,338.35,25,16,0.15,3,5,3,97.71,90.9,3.01,4.59,4.09,1.64,4.21,3.51,-5.11,2.66E-03,7.85E-06,Moderately soluble,-6.22,2.02E-04,5.98E-07,Poorly soluble,-5.64,7.73E-04,2.29E-06,Moderately soluble,High,No,No,No,No,Yes,No,No,-5.11,0,0,0,0,0,0.55,0,1,1,3.37,,2500,inactive,"wighteone induces MCF-7 cell apoptosis in vitro and restrains cell proliferation. The activation of the AKT and MAPK pathways and the high expression of HSP90 protein are common in HER2-positive breast cancer (27) and there is a positive correlation between HSP90 and breast cancer pathological stage, local recurrence and distant metastasis, all of which result in poor patient prognosis (28). Our study reveals that wighteone blocks the expression of HSP90 protein in MCF-7 cells, and that the inhibitory effect is enhanced with increasing drug concentrations. Wighteone is able to control proliferation and promote apoptosis in cancer cells, and it is possible that wighteone decreases the expression of HSP90 protein, which downregulates the key downstream molecular activation of the AKT and MAPK pathways.","PMCID: PMC4888280
PMID: 27313682"
,,seed,Erythraline,5317205,Molecule 137,COC1C=CC2=CCN3C2(C1)c1cc2OCOc2cc1CC3,C18H19NO3,297.35,22,6,0.44,1,4,0,86.19,30.93,3.23,2.02,1.89,2.3,2.51,2.39,-3.09,2.41E-01,8.09E-04,Soluble,-2.3,1.50E+00,5.05E-03,Soluble,-3.42,1.14E-01,3.85E-04,Soluble,High,Yes,No,Yes,No,No,Yes,Yes,-6.68,0,0,0,0,0,0.55,0,0,0,4.74,,80,inactive,***,
,,seed,erysodine,169017,Molecule 138,COC1C=CC2=CCN3C2(C1)c1cc(OC)c(cc1CC3)O,C18H21NO3,299.36,22,6,0.44,2,4,1,88.64,41.93,2.93,1.82,1.88,1.89,2.17,2.14,-2.91,3.66E-01,1.22E-03,Soluble,-2.32,1.43E+00,4.78E-03,Soluble,-3.21,1.83E-01,6.11E-04,Soluble,High,Yes,Yes,No,No,No,Yes,No,-6.83,0,0,0,0,0,0.55,0,0,0,4.74,,155,inactive,***,
,,seed,erysotrine,442219,Molecule 139,COC1C=CC2=CCN3C2(C1)c1cc(OC)c(cc1CC3)OC,C19H23NO3,313.39,23,6,0.47,3,4,0,93.11,30.93,3.32,2.14,2.18,2.13,2.7,2.49,-3.13,2.34E-01,7.48E-04,Soluble,-2.42,1.19E+00,3.79E-03,Soluble,-3.91,3.86E-02,1.23E-04,Soluble,High,Yes,No,No,No,No,Yes,No,-6.69,0,0,0,0,0,0.55,0,0,0,4.84,,155,inactive,***,
,,seed,hypaphorine,442106,Molecule 140,[O-]C(=O)C([N+](C)(C)C)Cc1c[nH]c2c1cccc2,C14H18N2O2,246.3,18,9,0.36,4,2,1,69.5,55.92,-1.65,2.21,0.54,-2.31,-0.49,-0.34,-2.87,3.36E-01,1.36E-03,Soluble,-3.02,2.36E-01,9.58E-04,Soluble,-4.33,1.14E-02,4.65E-05,Moderately soluble,High,No,No,No,No,No,No,No,-6.23,0,0,0,0,0,0.55,0,1,1,2.41,,225,inactive,"hypaphorine attenuated the expression of inflammatory factors (IL-1?, IL-6, TNF-?, and IL-18) and inactivated the p38/JNK signaling pathway through upregulating DUSP1 in a dosedependent manner. It was found that hypaphorine exerted an anti-inflammatory function in LPS-induced ALI by upregulating DUSP1 and inactivating p38/JNK pathway",DOI: 10.1002/kjm2.12418
Euphoria hirta,Dugdhika,,quercetin,5280343,Molecule 141,Oc1cc(O)c2c(c1)oc(c(c2=O)O)c1ccc(c(c1)O)O,C15H10O7,302.24,22,16,0,1,7,5,78.03,131.36,1.63,1.54,1.99,-0.56,1.54,1.23,-3.16,2.11E-01,6.98E-04,Soluble,-3.91,3.74E-02,1.24E-04,Soluble,-3.24,1.73E-01,5.73E-04,Soluble,High,No,No,Yes,No,No,Yes,Yes,-7.05,0,0,0,0,0,0.55,1,1,0,3.23,,159,inactive,"Quercetin causes cell cycle arrest through its influence on several target proteins such as p53, p21, p27, cyclin B, cyclin D, and cyclin?dependent kinases. Quercetin preferably triggers cell cycle arrest at G2/M phase through induction of p73 and p21 and inhibition of cyclin B, both at the transcription and translation levels. Quercetin is also able to downregulate the cyclin B1 and cyclin?dependent kinase?1 (CDK?1) which are required for orderly progression through G2/M phase of cell cycle .Quercetin inhibits TopoII directly by stabilizing double?stranded breaks (DSBs) in the ternary DNA?TopoII?flavonoid complex, the so?called DNA cleavage complex.GA could promote human oral cancer SCC-4 cells apoptosis, and the mechanism is related to BIK mediated ROS-dependent apoptotic activity of ER-associated BAX/BAK with Casein Kinase II activation. NF-?B is a transcription factor, and closely associated with genes transcription in immune response and anti-apoptotic aspects",
,,,myricetin-3-O-rhamnoside ,56843093,Molecule 142,Oc1cc(O)c2c(c1)oc(c(c2=O)O)c1cc(OC2OC(C)C(C(C2O)O)O)c(c(c1)O)O,C21H20O12,464.38,33,16,0.29,3,12,8,111.02,210.51,2.53,0.51,0.19,-2.32,-0.46,0.09,-3.2,2.92E-01,6.29E-04,Soluble,-4.5,1.46E-02,3.15E-05,Moderately soluble,-1.49,1.49E+01,3.21E-02,Soluble,Low,No,Yes,No,No,No,No,No,-8.77,2,0,1,1,3,0.17,1,1,1,5.27,,5000,inactive,"(myricetin 3-O-rhamnoside) and a part of quercetrin (quercetin 3-rhamnoside) inhibited the growth of an ovarian cancer cell line A2780/CP70. Such inhibitory effects might be due to the induction of apoptosis and G1 cell cycle arrest. BLF treatment increased the expression of cleaved caspase-3 and -7 and induced apoptosis via a Erk-dependent caspase-9 activation intrinsic apoptotic pathway by up-regulating the pro-apoptotic proteins (Bad and Bax) and down-regulating the anti-apoptotic proteins (Bcl-xL and Bcl-2), which were also in consistency with the results from Hoechst 33342 staining and flow cytometry analysis. Furthermore, by reducing the expression of cyclin D1 and CDK4 and p-Erk, BLF elevated the distribution of G1 phase in cell cycle and thus caused G1 cell cycle arrest.",https://doi.org/10.1016/j.ejmech.2018.01.084
,,,daphnoretin,5281406,Molecule 143,COc1cc2cc(Oc3ccc4c(c3)oc(=O)cc4)c(=O)oc2cc1O,C19H12O7,352.29,26,20,0.05,3,7,1,93.56,99.11,2.87,3.25,3.41,1.78,3.52,2.97,-4.44,1.27E-02,3.61E-05,Moderately soluble,-5.01,3.48E-03,9.88E-06,Moderately soluble,-6.59,8.97E-05,2.55E-07,Poorly soluble,High,No,No,Yes,No,Yes,No,No,-6.14,0,0,0,0,0,0.55,0,1,1,3.48,,3800,inactive,daphnoretin was observed to inhibit A549 lung cancer cell proliferation in a concentration- and time-dependent manner. Fluorescent microscopy and flow cytometric analysis showed that daphnoretin induced A549 cell apoptosis in a concentration-dependent manner. Western blot analysis also revealed that daphnoretin induced apoptosis through the regulation of the B-cell lymphoma-2 gene family in A549 cells. daphnoretin treatment induced an increase in Bax protein expression and a reduction in Bcl-2 protein expression compared with the control cells. The ratio of Bax to Bcl-2 was observed to increase in a concentration-dependent manner.,"PMCID: PMC4114638
PMID: 25120673"
,,,hyperoside,5281643,Molecule 144,OCC1OC(Oc2c(oc3c(c2=O)c(O)cc(c3)O)c2ccc(c(c2)O)O)C(C(C1O)O)O,C21H20O12,464.38,33,16,0.29,4,12,8,110.16,210.51,2.11,0.36,-0.54,-2.59,-0.59,-0.25,-3.04,4.23E-01,9.10E-04,Soluble,-4.35,2.10E-02,4.51E-05,Moderately soluble,-1.51,1.43E+01,3.08E-02,Soluble,Low,No,No,No,No,No,No,No,-8.88,2,1,1,1,3,0.17,1,1,1,5.32,,5000,inactive,hyperoside acted as an anticancer drug through ROS-related apoptosis and its mechanism included activation of the Bax–caspase-3 axis and the inhibition of the NF-?B signaling pathway.,"PMCID: PMC6981893
PMID: 31878204"
Gynandropis pentaphylla,Pashughandha (gandh buti),,kaempferol,5280863,Molecule 145,Oc1ccc(cc1)c1oc2cc(O)cc(c2c(=O)c1O)O,C15H10O6,286.24,21,16,0,1,6,4,76.01,111.13,1.7,1.9,2.28,-0.03,2.03,1.58,-3.31,1.40E-01,4.90E-04,Soluble,-3.86,3.98E-02,1.39E-04,Soluble,-3.82,4.29E-02,1.50E-04,Soluble,High,No,No,Yes,No,No,Yes,Yes,-6.7,0,0,0,0,0,0.55,0,0,0,3.14,,3919,Inactive/Active,"kaempferol-rich food has been linked to a decrease in the risk of developing some types of cancers, including skin, liver, and colon. The mechanisms of action include apoptosis, cell cycle arrest at the G2/M phase, downregulation of epithelial-mesenchymal transition (EMT)-related markers, and phosphoinositide 3-kinase/protein kinase B signaling pathways. The cancer prevention is mostly achieved by inhibiting the proliferation of cancer cells through increasing the apoptosis [9,10,11]. Indeed, kaempferol inhibits various cancer cells by triggering apoptosis, cell cycle arrest at G2/M phase, downregulation of signaling pathways and phosphoinositide 3-kinase (PI3K)/protein kinase B (AKT), expression of epithelial-mesenchymal transition (EMT)-related markers (N-cadherin, E-cadherin, Snail, and Slug), and matrix metallopeptidase 2 (MMP-2), metastasis-related markers [12,13]. Kaempferol also induces the activation of cysteine proteases involved in apoptosis initiation and execution, caspases-3, -7, -9, and Poly (ADP-ribose) polymerase (PARP) [14], therefore preventing the accumulation of reactive oxygen species (ROS) involved in cancer development [15]. The inhibition of angiogenesis was also reported as well as the capacity of kaempferol to preserve normal cell viability.Kaempferol also induces apoptosis and cell cycle arrest at G2/M phase via upregulation of Chk2/Cdc25C/Cdc2, DR5, DR4, JNK, CHOP, p38, p21, ERK1/2 proteins, caspase-3, -7, -8, Bad, Bax, and p53 proteins, with downregulation of hypoxia-inducible factor 1? (HIF-1?), a regulator of VEGF expression.Kaempferol acts by downregulating the AP-1 DNA binding activity, MMP-2, -9, and urokinase plasminogen activator (uPA) that, in turn, reduces phosphorylated p38, ERK, and JNK [110]. In BALB/c(nu/nu) mice inoculated with human osteosarcoma cells (U-2 OS), kaempferol significantly decreased the number of viable cells and reduced the tumor size [109]. The in vivo anti-bone cancer effects of kaempferol have also been demonstrated in BALB/c(nu/nu) mice inoculated with U-2 OS cells .Kaempferol also caused cell cycle arrest at G0/G1 phase and downregulated Bcl-2, MMP-2, c-Jun, and hexokinase-2 expression. Kaempferol also increased glucose uptake, EGFR activation, ERK1/2 phosphorylation, and upregulated Bax, cleaved caspase-3, -9, and PARP. Kaempferol dose-dependently inhibits the growth of pancreatic cancer cells, SNU-213, Panic-1, and Miapaca-2, through inducing apoptosis [75] and effectively inhibiting cell migration, ERK1/2, epidermal growth factor receptor (EGFR)-related Src, and AKT pathways [76]. Kaempferol also improves the suppressive activity of regulatory T cells (Tregs) by increasing the FOXP3 expression level. kaempferol in combination with tumor necrosis factor ligand superfamily member (TRAIL) led to apoptosis in colon cancer cells, through up-regulation of TRAIL receptors and death receptor 5 (DR5) that improved the TRAIL activity [67]. Generally, kaempferol induces apoptosis and cell cycle arrest at G2/M, and reduces both cell migration and invasion [64,66]. Kaempferol also blocked ROS production and modulated the expression of MAPK, JAK/STAT3, PI3K/AKT, ATM, H2A histone family member X (H2AX), phospho-p38, p21, p53, PARP, caspase-3, -7, -8, -9, Bcl-2, p53 upregulated modulator of apoptosis (PUMA), the release of cytochrome c from mitochondria, connexin 43, ERK-1/2, and nuclear factor kappa B (NF-?B). Also, kaempferol significantly reduced insulin-like growth factor (IGF)-II secretion, and heregulin (HRG)-?, CDK2, CDK4, Cdc25C, Cdc2, cyclins B1, D1, E, A, and connexin 43 expressions. Finally, it also suppressed the phosphorylation of retinoblastoma protein and enhanced the PARP cleavages.",https://doi.org/10.3390/molecules24122277
,,,saponins,6540709,Molecule 146,OCC1OC(OC2C(OC(C(C2O)OC2OC(CO)C(C(C2O)O)O)C(=O)O)OC2CCC3(C(C2(C)CO)CCC2(C3CC=C3C2(C)CC(C2(C3CC(C)(C)C(C2OC(=O)C)OC(=O)C(=CC)C)CO)O)C)C)C(C(C1O)O)O,C55H86O24,1131.26,79,0,0.87,16,24,13,271.87,388.04,4.01,0.67,-1.32,-3.24,-1.54,-0.28,-6.22,6.82E-04,6.03E-07,Poorly soluble,-8.4,4.55E-06,4.02E-09,Poorly soluble,0.94,9.81E+03,8.67E+00,Soluble,Low,No,Yes,No,No,No,No,No,-12.72,3,4,2,1,6,0.11,0,4,2,10,,,,"Saponins can activate the extrinsic pathway of apoptosis by activating the Fas receptor leading to the recruitment of adaptor molecule called Fas-associated death domain (FADD) [64]. The recruitment of FADD triggers the conscription of Pro-caspase 8 in saponin treated cancer cells to form death induced signaling complex (DISC) [63,65]. Upon recruitment, procaspase-8 is released from DISC as the active caspase-8 via a proximity-induced activation mechanism. Activation of caspase-8 leads to downstream activation of the executioner caspase-3 and cleavage of poly-ADP-ribose polymerase (PARP) mediating the proteolysis of cellular components [66]. Caspase-8 activation is the defining factor in the extrinsic apoptosis pathway, and activation of this protein can be induced by different saponins [67].
Cellular activation of caspase-8 by saponins via the intrinsic pathway might not be sufficient to induce apoptosis [64]; as a result, some saponins rely on cell death machinery via the BCl-2 family of protein (Bid) which mediates crosstalk with the intrinsic apoptosis pathway [68]. Caspase-8 activates tBid by protein cleavage to form an active Bid, which subsequently activates downstream pro-apoptotic proteins, Bax and Bak, causing mitochondria membrane permeabilization and activation of effector caspases [69]. Furthermore, since p53 mutation in cancer cells can inhibit apoptosis in the intrinsic pathway, this pathway of cell death offers an alternative route of eliminating cancer in p53 mutant cells","PMCID: PMC9386697
PMID: 35990496"
,,,terpenoids,22311,Molecule 147,CC1=CCC(CC1)C(=C)C,C10H16,136.23,10,0,0.6,1,0,0,47.12,0,2.72,4.57,3.31,3.27,2.97,3.37,-3.5,4.33E-02,3.18E-04,Soluble,-4.29,6.93E-03,5.09E-05,Moderately soluble,-2.26,7.54E-01,5.53E-03,Soluble,Low,Yes,No,No,No,Yes,No,No,-3.89,0,1,0,0,2,0.55,0,1,2,3.46,,NA,inactive," terpenoids are able to inhibit tumor cell proliferation and induce tumor cell death by inhibiting multiple cancer-specific targets including the proteasome, NF-?B, and antiapoptotic protein Bcl-2. ","PMCID: PMC3306610
NIHMSID: NIHMS362036
PMID: 20298150"
Euphorbia peplus,Yekka,,Ingenol 3-angelate(PEP005),138756126,Molecule 148,CC=C(C(=O)OC1C(=CC23C1(O)C(O)C(=CC(C3=O)C1C(CC2C)C1(C)C)CO)C)C,C25H34O6,430.53,31,0,0.68,4,6,3,116.9,104.06,2.34,1.98,2.33,2.06,2.74,2.29,-3.49,1.38E-01,3.22E-04,Soluble,-3.79,6.96E-02,1.62E-04,Soluble,-2.69,8.83E-01,2.05E-03,Soluble,High,No,Yes,No,No,No,No,Yes,-7.52,0,0,0,0,0,0.55,0,2,1,6.49, skin cancer,34,inactive,"PEP005 has only minor effects on the expression of most CCR and CXCR receptors (CCR1-3, CCR5, CXCR2, 3), the only exception being CXCR4 that shows decreased expression. CXCR4 is one of the two receptors for the CXCL12 chemokine that is usually not released or only released at low levels by primary human AML cells [61]. However, it is released by bone marrow stromal cells [62]. The CXCL12/CXCR4 system is important for AML cell migration and CXCR4 expression seems to have an adverse prognostic impact in AML [63]. For this reason the PEP005 induced reduction in CXCR4 expression should possibly be regarded as an anti-leukemic effect.PEP005 increases the expression of Bax and the activation of caspase 3.","PMCID: PMC3206618
PMID: 22069553"
,,,phorbol,442070,Molecule 149,OCC1=CC2C3C(C3(C)C)(O)C(C(C2(C2C(C1)(O)C(=O)C(=C2)C)O)C)O,C20H28O6,364.43,26,0,0.75,1,6,5,94.71,118.22,2.61,-0.84,-0.07,0.35,0.86,0.58,-1.5,1.14E+01,3.13E-02,Very soluble,-1.16,2.51E+01,6.88E-02,Very soluble,-1.26,2.00E+01,5.50E-02,Soluble,High,No,Yes,No,No,No,No,No,-9.12,0,0,0,0,0,0.55,0,1,1,5.63,,9000,inactive,"By applying PMA treatment to the well established EMT model of human prostate cancer ARCaPE cells, we found that PMA is a potent promoter for EMT-like phenotypes. PMA induced ARCaPE cells to undergo marked morphologic change from epithelial to mesenchymal stromal cell shapes (Figure 1). The morphologic changes were accompanied by expressional changes, in which ARCaPE cells lost the epithelial markers E-cad and CK-18, and switched on the expression of stromal intermediate filament protein vimentin (Figure 3). Loss of E-cad and the activated vimentin expression are the two most informative markers of EMT","PMCID: PMC3180889
NIHMSID: NIHMS323680
PMID: 20333698"
Maytenus ovatus,Bhadhrun,,maytansine,5281828,Molecule 150,COC1C=CC=C(C)Cc2cc(OC)c(c(c2)N(C(=O)CC(C2(C(C(C3CC1(O)NC(=O)O3)C)O2)C)OC(=O)C(N(C(=O)C)C)C)C)Cl,C34H46ClN3O10,692.2,48,6,0.59,7,10,2,184.51,156.47,4.14,1.99,2.77,1.1,2.22,2.44,-5.02,6.67E-03,9.64E-06,Moderately soluble,-4.9,8.67E-03,1.25E-05,Moderately soluble,-5.19,4.44E-03,6.41E-06,Moderately soluble,Low,No,Yes,No,No,No,No,Yes,-9.11,2,3,1,1,2,0.17,0,2,1,8.45,breast cancer,NA,inactive,Maytansine is a potent microtubule-targeted compound that induces mitotic arrest and kills tumor cells at sub-nanomolar concentrations.,"PMCID: PMC2954514
NIHMSID: NIHMS225227
PMID: 20937594"
Taxus brevifolia,Manduparni,leaf,DHA-Paclitaxel (PTX),6918473,Molecule 151,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(C(c1ccccc1)NC(=O)c1ccccc1)C(=O)OC1CC2(O)C(OC(=O)c3ccccc3)C3C4(COC4CC(C3(C(=O)C(C(=C1C)C2(C)C)OC(=O)C)C)O)OC(=O)C,C69H81NO15,1164.38,85,18,0.43,31,15,3,321.99,227.36,8.97,10.63,10.44,4.58,12.66,9.46,-11.87,1.58E-09,1.36E-12,Insoluble,-15.36,5.12E-13,4.40E-16,Insoluble,-12.67,2.50E-10,2.15E-13,Insoluble,Low,No,Yes,No,No,No,No,No,-5.86,3,4,2,2,5,0.17,0,2,3,10,,560,inactive," PTX is also known to induce the production of IL-12 p40, which is the homodimer of the soluble receptor in the macrophages of tumor-bearing hosts, significantly down-regulating tumor growth [37]. PTX also reduces glycolysis in melanoma cells.While PTX mainly induces the apoptosis targeting tubulin, PTX has been found to target mitochondria and inhibit the function of the apoptotic inhibitor protein B-cell Leukemia 2 (Bcl-2) [67]. However, there is a controversial situation arising regarding the phosphorylation of Bcl-2 affected by PTX. Some researchers have reported that the cytotoxicity of PTX retained its ability to cause Bcl-2 hyperphosphorylation, while others reported that the dephosphorylation of Bcl-2 coincided with apoptosis (Figure 3) [80,81,82]. Apoptosis does not immediately occur after exposure to PTX, while the duration of the exposure and constant Bcl-2 phosphorylation appeared to contribute to the drug’s cytotoxicity [83]. On the other hand, phosphorylated Bcl-2 was independently proven not to dimerize with BAX. In this context, the unassociated BAX is responsible for apoptosis on the phosphorylation of Bcl-2 [81]. Furthermore, there is an indication that PTX may block the cell cycle at G1 (Figure 3), activating the mitogen-activated protein/microtubule-associated protein (MAP) kinase, increasing the production of tumor necrosis factor and activating liposaccharide-inducible genes [84,85]. The transcriptional upregulation of the interleukin-1 upon treatment with PTX also has been reported, and is probably associated with its ability to activate nuclear factor ?B (NF-?B) [86,87]. PTX induced the expression of the tumor suppressor protein p53 and the cyclin-dependent kinase inhibitor in the presence of a functional c-raf-1 (an upstream regulator of MAP kinase) [88].
","PMCID: PMC8147479
PMID: 34063205"
,,,(-)-HIBALACTONE,98946,Molecule 152,O=C1OCC(C1=Cc1ccc2c(c1)OCO2)Cc1ccc2c(c1)OCO2,C20H16O6,352.34,26,12,0.25,3,6,0,91.54,63.22,2.86,3.62,2.83,2.63,4.14,3.22,-4.45,1.25E-02,3.56E-05,Moderately soluble,-4.64,8.16E-03,2.32E-05,Moderately soluble,-5.32,1.68E-03,4.76E-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,Yes,Yes,-5.88,0,0,0,0,0,0.55,0,1,2,3.62,,NA,inactive,***,
Camptotheca acuminata,,leaf ,TRIFOLIN,5282149,Molecule 153,OCC1OC(Oc2c(oc3c(c2=O)c(O)cc(c3)O)c2ccc(cc2)O)C(C(C1O)O)O,C21H20O11,448.38,32,16,0.29,4,11,7,108.13,190.28,0.53,0.72,-0.24,-2.1,-0.12,-0.25,-3.18,2.97E-01,6.61E-04,Soluble,-4.29,2.28E-02,5.08E-05,Moderately soluble,-2.1,3.55E+00,7.91E-03,Soluble,Low,No,No,No,No,No,No,No,-8.52,2,0,1,1,3,0.17,0,0,1,5.29,,5000,inactive,"Trifolin induced apoptosis in NCI-H460 human non-small cell lung cancer (NSCLC) cells by inhibiting the survival pathway and inducing the intrinsic and extrinsic apoptosis pathways. Trifolin decreased levels of Akt/p-Akt, whereas levels of expression of phosphatidylinositide 3-kinase (PI3K), cyclin D1, cyclin E, and cyclin A were not altered. Trifolin initiated cytochrome c release by inducing mitochondrial outer membrane permeabilization (MOMP). Trifolin increased Bcl-2-associated X protein (Bax) levels and decreased b-cell lymphoma 2 (Bcl-2) levels, while the levels of Bcl-xL were not altered. In addition, trifolin increased the levels of the death receptor involving the Fas/Fas ligand (FasL) and Fas-associated protein with the death domain (FADD), which consequently activated caspase-8, caspase-9, caspase-3, and the proteolytic cleavage of poly (ADP-ribose) polymerase (PARP)",DOI:10.1016/j.phymed.2016.05.009
